Word,Part of Speech,Definition,Pronunciation
umami,noun,"a category of taste in food (besides sweet, sour, salt, and bitter), corresponding to the flavor of glutamates, especially monosodium glutamate.",
alacrity,noun,brisk and cheerful readiness,
serendipity,noun,the occurrence and development of events by chance in a happy or beneficial way,
Defevescence,noun,The abatement of a fever as indicated by a decrease in bodily temperature.,
Degust,verb,taste (something) carefully to appreciate it fully.,
Hongi,noun,A traditional Maori greeting in which people press their noses together.,
Mudlark,noun,A person who scavenges in river mud for objects of value.,
Opsimath,noun,A person who begins to learn or study only late in life.,
Pooter,noun,"A bottle for collecting small insects and other invertebrates, having one tube through which they are sucked into the bottle and another, protected by muslin or gauze, which is sucked.",
Prosopagnosia,noun,A neurological condition characterized by the inability to recognize the faces of familiar people.,
Rubiginous,adjective,Rust-colored,
Saucier,noun,A chef who prepare sauces.,
Spaghettification,noun,The process by which an object would be stretched and ripped apart by gravitational forces upon falling into a black hole.,
Sternutator,noun,"An agent that causes sneezing, especially one used in chemical warfare that causes irritation to the nose and eyes, pain in the chest, and nausea.",
Succuss,verb,to shake vigorously in preparing a homeopathic remedy.,
Tellurian,adjective,Of or inhabiting the earth.,
triskaidekaphobia,noun,Extreme superstition regarding the number thirteen.,
winebibber,noun,A habitual drinker of alcohol.,
Zetetic,adjective,Proceeding by inquiry.,
Omphalos,noun,The centre or hub of something.,
Ogdoad,noun,a group or set of eight.,
Noyade,noun,An execution carried out by drowning.,
noctambulist,noun,A sleepwalker.,
Nacarat,noun,A bright orange-red color.,
lollygag,verb,spend time aimlessly; idle,
Imspissate,verb,Thicken or congeal.,
Frondeur,noun,a political rebel,
floccinaucinihilipilification,Noun,The action or habit of estimating something as worthless,
Eucatastrophe,noun,a sudden and favourable resolution of events in a story; a happy ending,
douceur,noun,a financial inducement; a bribe,
deracinate,verb,"to uproot someone from their natural geographical, social, or cultural enviorment.",
Coprolalia,noun,"the involuntary and repetitive use of obscene language,as a symptom of mental illness or organic brain disease.",
Clepsydra,noun,an ancient time-measuring device worked by a flow of water.,
Cereology,noun,The study or investigation of crop circles.,
Bruxism,noun,"Involuntary habitual grinding of the teeth, typically during sleep.",
Breatharian,noun,"A person who beleives that it is possible, through meditation, to reach a level of consciousness where one can obtain all the nutrients one needs from the air or sunlight.",
Borborygmus,noun,a rumbling or gurgling noise made by the movement of fluit and gas in the intestines.,
aa,noun,"Basaltic lava forming bery rough, jagged masses with a light frothy texture.",
ochlophobia,noun,Extreme or irrational fear or dislike of crowds.,
cambresine,noun,fine linen fabric,
careen,verb,to turn a ship on its side in order to clean or repair it,
squattocracy,noun,goverment by squatters,
epomania,noun,craze for writing epics,
amaranthine,adjective,immortal; undying,
abbozzo,noun,preliminary sketch,
Lacuna,noun,a blank space or missing part,
naupathia,noun,sea sickness,
yuke,verb,to itch,
yaff,verb,to bark like a dog,
